state,SUM,latitude,longitude
Missouri,3,38.5933,-90.2657
Missouri,3,38.5297,-90.2771
South Carolina,3,32.6863,-81.2005
Georgia,3,34.2448,-84.8522
Illinois,3,41.783,-87.5891
California,3,37.9242,-122.012
Michigan,3,42.4011,-83.0609
Louisiana,3,29.933,-90.0404
Illinois,3,41.6353,-87.5882
Louisiana,3,29.9565,-90.0858
Wisconsin,3,43.0694,-87.9184
Illinois,3,41.637,-87.5872
New York,3,40.6176,-73.9594
California,3,34.0213,-118.423
Alabama,3,32.3442,-86.3233
Nebraska,3,41.2881,-95.9398
Tennessee,3,35.1042,-90.043
New York,3,40.6736,-73.9362
New Jersey,3,39.4401,-74.6197
Illinois,3,40.6667,-89.6333
California,3,37.4683,-122.147
Virginia,3,36.8579,-76.1747
Colorado,3,39.7595,-104.984
Alabama,3,30.6658,-88.0595
Michigan,3,42.3716,-83.1071
Virginia,3,36.6463,-79.8756
Indiana,3,39.8272,-86.0463
North Carolina,3,36.0945,-79.4165
California,3,35.3624,-118.986
Ohio,3,39.1044,-84.5155
Michigan,3,42.4356,-83.0693
Louisiana,3,30.5043,-91.1174
Indiana,3,41.0576,-85.1267
Arizona,3,33.4368,-111.943
Ohio,3,39.9708,-82.9701
Washington,3,47.4817,-122.245
Louisiana,3,32.5335,-92.0902
Illinois,3,41.8991,-87.7381
New York,3,40.9349,-73.8951
Missouri,3,38.7134,-90.2548
Texas,3,31.7682,-106.433
Illinois,3,41.8038,-87.6227
Louisiana,3,30.2191,-92.0158
Pennsylvania,3,40.4603,-80.007
Florida,3,28.057,-81.9773
California,3,33.9031,-117.204
New Jersey,3,39.5687,-75.4672
Colorado,3,39.6708,-105.208
South Carolina,3,35.0435,-81.6309
New Jersey,3,40.721,-74.0553
Alabama,3,33.505,-86.7935
Missouri,3,39.0898,-94.5622
Texas,3,29.8858,-95.3927
Illinois,3,41.9594,-87.7171
New Jersey,3,40.9239,-74.1482
Oklahoma,3,34.6436,-99.3374
Missouri,3,38.7362,-90.2812
Illinois,3,41.7173,-87.6395
Illinois,3,41.7304,-87.6581
Missouri,3,38.7477,-90.3327
Illinois,3,41.881,-87.6247
Oklahoma,3,36.0694,-95.8724
Colorado,3,39.6821,-105.11
New York,3,43.1795,-77.6214
Maryland,3,39.3643,-76.5931
California,3,36.914,-121.405
Connecticut,3,41.2143,-73.1969
California,3,38.1091,-122.263
Louisiana,3,29.9558,-90.1017
Iowa,3,41.5341,-90.5846
Oklahoma,3,36.1769,-95.9759
Louisiana,3,29.9558,-90.1017
Minnesota,3,45.0185,-93.2955
Mississippi,3,32.2748,-90.2291
California,3,38.4267,-122.667
Illinois,3,41.9241,-87.7759
South Carolina,3,35.0802,-81.6085
Missouri,3,39.136,-94.5676
Texas,3,29.9784,-95.4947
New Jersey,3,40.7514,-74.0509
California,3,33.9433,-118.25
Tennessee,3,36.1557,-86.7961
Illinois,3,41.8942,-87.72
New York,3,40.6514,-73.9559
Mississippi,3,34.7859,-89.4627
Missouri,3,39.0053,-94.5577
Illinois,3,41.5012,-90.5794
Maryland,3,39.3395,-76.6673
Mississippi,3,32.2659,-90.2165
New York,3,42.9126,-78.8083
Ohio,3,41.481,-81.6018
District of Columbia,3,38.9075,-76.9986
Pennsylvania,3,40.3429,-79.8467
New York,3,40.8385,-73.864
Georgia,3,32.0443,-81.1084
Louisiana,3,30.5093,-91.1353
Indiana,3,41.6046,-87.5069
Ohio,3,39.1142,-84.5196
North Carolina,3,35.2758,-79.0689
Missouri,3,38.5937,-90.2289
Texas,3,29.9354,-95.548
Arkansas,3,34.718,-92.3521
Kentucky,3,37.0698,-83.3789
Tennessee,3,35.249,-88.9895
Arizona,3,33.4655,-111.972
Illinois,3,41.7389,-87.5615
Minnesota,3,44.9871,-93.2787
New York,3,40.8347,-73.9294
Louisiana,3,30.0039,-91.8034
Tennessee,3,35.0278,-85.2815
California,3,37.3894,-120.609
Georgia,3,32.6298,-83.6235
Tennessee,3,35.1098,-89.9795
District of Columbia,3,38.917,-77.0051
Ohio,3,39.7654,-84.1559
Iowa,3,41.6149,-93.7608
Indiana,3,38.2951,-85.7266
New Jersey,3,39.3621,-74.4329
Delaware,3,39.7434,-75.5586
Wisconsin,3,43.0777,-87.9262
Illinois,3,41.7384,-87.6015
California,3,37.3998,-120.636
Georgia,3,30.9306,-83.2437
South Carolina,3,34.4985,-82.638
Tennessee,3,35.2306,-89.92
California,3,34.1631,-118.151
New York,3,40.7332,-73.981
Georgia,3,33.9773,-83.3641
North Carolina,3,35.2796,-80.7705
New York,3,40.8069,-73.9197
Ohio,3,40.0861,-82.9535
Oregon,3,45.5223,-122.673
Ohio,3,41.6482,-83.5603
Texas,3,29.7701,-95.6088
Arkansas,3,34.5145,-93.0421
New Jersey,3,40.7286,-74.2139
Illinois,3,41.7684,-87.6569
Florida,3,28.5401,-81.389
South Carolina,3,34.7335,-80.8014
South Carolina,3,34.7347,-80.7902
Kansas,3,39.1352,-94.6651
Michigan,3,42.4557,-83.0289
Virginia,3,38.2937,-77.5158
Michigan,3,42.4557,-83.0289
California,3,34.0984,-118.336
California,3,34.0901,-118.388
